,Retailer,Retailer ID,Invoice Date,Region,State_name,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,State
15,Foot Locker,1185732,28-01-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,45,800,360000,126000,0.35,Outlet,PA
16,Foot Locker,1185732,29-01-2020 00:00,Northeast,New York,New York,Men's Apparel,60,850,510000,153000,0.3,Outlet,NY
17,Foot Locker,1185732,30-01-2020 00:00,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,0.25,Outlet,PA
18,Foot Locker,1185732,31-01-2020 00:00,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,0.5,Outlet,NY
19,Foot Locker,1185732,01-02-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet,PA
20,Foot Locker,1185732,02-02-2020 00:00,Northeast,New York,New York,Women's Street Footwear,40,900,360000,126000,0.35,Outlet,NY
21,Foot Locker,1185732,03-02-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129937.5,0.35,Outlet,PA
22,Foot Locker,1185732,04-02-2020 00:00,Northeast,New York,New York,Men's Apparel,60,825,495000,148500,0.3,Outlet,NY
23,Foot Locker,1185732,05-02-2020 00:00,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,0.25,Outlet,PA
24,Foot Locker,1185732,06-02-2020 00:00,Northeast,New York,New York,Men's Street Footwear,60,1220,732000,366000,0.5,Outlet,NY
25,Foot Locker,1185732,07-02-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,55,925,508750,152625,0.3,Outlet,PA
26,Foot Locker,1185732,08-02-2020 00:00,Northeast,New York,New York,Women's Street Footwear,50,900,450000,157500,0.35,Outlet,NY
27,Foot Locker,1185732,09-02-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,50,850,425000,148750,0.35,Outlet,PA
28,Foot Locker,1185732,10-02-2020 00:00,Northeast,New York,New York,Men's Apparel,60,875,525000,157500,0.3,Outlet,NY
29,Foot Locker,1185732,03-03-2020 00:00,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.25,Outlet,PA
30,Foot Locker,1185732,04-03-2020 00:00,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet,NY
31,Foot Locker,1185732,05-03-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,NV
32,Foot Locker,1185732,06-03-2020 00:00,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,0.35,Outlet,NY
33,Foot Locker,1185732,07-03-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet,NV
34,Foot Locker,1185732,08-03-2020 00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,NY
35,Foot Locker,1185732,09-03-2020 00:00,Northeast,New York,New York,Women's Apparel,65,1050,682500,170625,0.25,Outlet,NV
36,Foot Locker,1185732,10-03-2020 00:00,Northeast,New York,New York,Men's Street Footwear,60,1275,765000,382500,0.5,Outlet,NY
37,Foot Locker,1185732,11-03-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,55,1025,563750,169125,0.3,Outlet,NV
38,Foot Locker,1185732,12-03-2020 00:00,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,0.35,Outlet,NY
39,Foot Locker,1185732,13-03-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet,NV
40,Foot Locker,1185732,14-03-2020 00:00,Northeast,New York,New York,Men's Apparel,60,925,555000,166500,0.3,Outlet,NY
41,Foot Locker,1185732,15-03-2020 00:00,Northeast,New York,New York,Women's Apparel,65,1100,715000,178750,0.25,Outlet,NV
42,Foot Locker,1185732,16-03-2020 00:00,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet,NY
43,Foot Locker,1185732,17-03-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,55,1025,563750,169125,0.3,Outlet,NV
44,Foot Locker,1185732,18-03-2020 00:00,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,0.35,Outlet,NY
45,Foot Locker,1185732,31-03-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,50,925,462500,161875,0.35,Outlet,NV
46,Walmart,1185732,17-04-2020 00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,NY
47,Walmart,1185732,18-04-2020 00:00,Northeast,New York,New York,Women's Apparel,65,1075,698750,174687.5,0.25,Outlet,NV
48,Walmart,1185732,19-04-2020 00:00,Northeast,New York,New York,Men's Street Footwear,60,1200,720000,360000,0.5,Outlet,NV
49,Walmart,1185732,20-04-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,NV
50,Walmart,1185732,21-04-2020 00:00,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,0.35,Outlet,NV
51,Walmart,1185732,22-04-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet,NV
52,Walmart,1185732,23-04-2020 00:00,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,0.3,Outlet,NV
53,Walmart,1185732,24-04-2020 00:00,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,0.25,Outlet,NV
54,Walmart,1185732,25-04-2020 00:00,Northeast,New York,New York,Men's Apparel,65,875,568750,170625,0.3,Outlet,NV
55,Walmart,1185732,26-04-2020 00:00,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,0.25,Outlet,NV
56,Walmart,1185732,27-04-2020 00:00,Northeast,New York,New York,Men's Street Footwear,65,1150,747500,373750,0.5,Outlet,NV
57,Walmart,1185732,28-04-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,55,975,536250,160875,0.3,Outlet,NV
58,Walmart,1185732,29-04-2020 00:00,Northeast,New York,New York,Women's Street Footwear,55,920,506000,177100,0.35,Outlet,NV
59,Walmart,1185732,30-04-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,55,900,495000,173250,0.35,Outlet,NV
60,Walmart,1185732,01-05-2020 00:00,Northeast,New York,New York,Men's Apparel,65,875,568750,170625,0.3,Outlet,NV
61,Walmart,1185732,02-05-2020 00:00,Northeast,New York,New York,Women's Apparel,70,975,682500,170625,0.25,Outlet,NV
62,Walmart,1185732,03-05-2020 00:00,Northeast,New York,New York,Men's Street Footwear,65,1200,780000,390000,0.5,Outlet,NV
63,Walmart,1185732,04-05-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,NV
64,Walmart,1185732,05-05-2020 00:00,Northeast,New York,New York,Women's Street Footwear,55,950,522500,182875,0.35,Outlet,NV
65,Walmart,1185732,06-05-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,55,900,495000,173250,0.35,Outlet,NV
66,Walmart,1185732,07-05-2020 00:00,Northeast,New York,New York,Men's Apparel,65,900,585000,175500,0.3,Outlet,NV
67,Walmart,1185732,18-07-2020 00:00,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,0.25,Outlet,NV
68,Sports Direct,1197831,19-07-2020 00:00,Northeast,New York,New York,Men's Street Footwear,25,900,225000,78750,0.35,Outlet,NV
69,Sports Direct,1197831,20-07-2020 00:00,Northeast,New York,New York,Men's Athletic Footwear,35,900,315000,110250,0.35,Outlet,NV
70,Sports Direct,1197831,21-07-2020 00:00,Northeast,New York,New York,Women's Street Footwear,35,700,245000,85750,0.35,Outlet,NV
71,Sports Direct,1197831,22-07-2020 00:00,Northeast,New York,New York,Women's Athletic Footwear,35,700,245000,110250,0.45,Outlet,NV
72,Sports Direct,1197831,23-07-2020 00:00,South,Texas,Houston,Men's Apparel,40,550,220000,66000,0.3,Outlet,NV
73,Sports Direct,1197831,24-07-2020 00:00,South,Texas,Houston,Women's Apparel,35,700,245000,122500,0.5,Outlet,NV
74,Sports Direct,1197831,25-07-2020 00:00,South,Texas,Houston,Men's Street Footwear,25,850,212500,74375,0.35,Outlet,NV
75,Sports Direct,1197831,26-07-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,35,850,297500,104125,0.35,Outlet,NV
76,Sports Direct,1197831,27-07-2020 00:00,South,Texas,Houston,Women's Street Footwear,35,675,236250,82687.5,0.35,Outlet,NV
77,Sports Direct,1197831,28-07-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,35,625,218750,98437.5,0.45,Outlet,NV
78,Sports Direct,1197831,29-07-2020 00:00,South,Texas,Houston,Men's Apparel,40,500,200000,60000,0.3,Outlet,NV
79,Sports Direct,1197831,30-07-2020 00:00,South,Texas,Houston,Women's Apparel,35,700,245000,122500,0.5,Outlet,NV
80,Sports Direct,1197831,31-07-2020 00:00,South,Texas,Houston,Men's Street Footwear,30,875,262500,91875,0.35,Outlet,NV
81,Sports Direct,1197831,01-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,40,875,350000,122500,0.35,Outlet,NV
82,Sports Direct,1197831,02-08-2020 00:00,South,Texas,Houston,Women's Street Footwear,35,700,245000,85750,0.35,Outlet,NV
83,Sports Direct,1197831,03-08-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,40,600,240000,108000,0.45,Outlet,NV
84,Sports Direct,1197831,04-08-2020 00:00,South,Texas,Houston,Men's Apparel,45,500,225000,67500,0.3,Outlet,NY
85,Sports Direct,1197831,05-08-2020 00:00,South,Texas,Houston,Women's Apparel,40,650,260000,130000,0.5,Outlet,NV
86,Sports Direct,1197831,06-08-2020 00:00,South,Texas,Houston,Men's Street Footwear,30,900,270000,94500,0.35,Outlet,NY
87,Sports Direct,1197831,07-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,40,900,360000,126000,0.35,Outlet,NV
88,Sports Direct,1197831,08-08-2020 00:00,South,Texas,Houston,Women's Street Footwear,35,725,253750,88812.5,0.35,Outlet,NY
89,Sports Direct,1197831,09-08-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,40,625,250000,112500,0.45,Outlet,NV
90,Walmart,1197831,10-08-2020 00:00,South,Texas,Houston,Men's Apparel,45,525,236250,70875,0.3,Outlet,NY
91,Walmart,1197831,11-08-2020 00:00,South,Texas,Houston,Women's Apparel,40,800,320000,160000,0.5,Outlet,NV
92,Walmart,1197831,12-08-2020 00:00,South,Texas,Houston,Men's Street Footwear,30,925,277500,97125,0.35,Outlet,NY
93,Walmart,1197831,13-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,40,925,370000,129500,0.35,Outlet,NV
94,Walmart,1197831,14-08-2020 00:00,South,Texas,Houston,Women's Street Footwear,35,775,271250,94937.5,0.35,Outlet,NY
95,Walmart,1197831,15-08-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,0.45,Outlet,NV
96,Walmart,1197831,16-08-2020 00:00,South,Texas,Houston,Men's Apparel,45,600,270000,81000,0.3,Outlet,NY
97,Walmart,1197831,17-08-2020 00:00,South,Texas,Houston,Women's Apparel,40,950,380000,190000,0.5,Outlet,NV
98,Walmart,1197831,18-08-2020 00:00,South,Texas,Houston,Men's Street Footwear,40,950,380000,133000,0.35,Outlet,NY
99,Walmart,1197831,19-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet,NV
100,Walmart,1197831,20-08-2020 00:00,South,Texas,Houston,Women's Street Footwear,40,800,320000,112000,0.35,Outlet,NY
101,Walmart,1197831,21-08-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,40,750,300000,135000,0.45,Outlet,NV
102,Walmart,1197831,22-08-2020 00:00,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,NY
103,Walmart,1197831,23-08-2020 00:00,South,Texas,Houston,Women's Apparel,50,1000,500000,250000,0.5,Outlet,NV
104,Walmart,1197831,24-08-2020 00:00,South,Texas,Houston,Men's Street Footwear,40,950,380000,133000,0.35,Outlet,NY
105,Walmart,1197831,25-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet,NV
106,Walmart,1197831,26-08-2020 00:00,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,0.35,Outlet,NY
107,Walmart,1197831,27-08-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,40,700,280000,126000,0.45,Outlet,NV
108,Walmart,1197831,28-08-2020 00:00,South,Texas,Houston,Men's Apparel,45,700,315000,94500,0.3,Outlet,NY
109,Walmart,1197831,29-08-2020 00:00,South,Texas,Houston,Women's Apparel,50,975,487500,243750,0.5,Outlet,NV
110,Walmart,1197831,30-08-2020 00:00,South,Texas,Houston,Men's Street Footwear,40,925,370000,129500,0.35,Outlet,NY
111,Walmart,1197831,31-08-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,45,925,416250,145687.5,0.35,Outlet,NV
112,Walmart,1197831,01-09-2020 00:00,South,Texas,Houston,Women's Street Footwear,40,1100,440000,154000,0.35,Outlet,NY
113,Walmart,1197831,02-09-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,40,650,260000,117000,0.45,Outlet,NV
114,Walmart,1197831,03-09-2020 00:00,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,NY
115,Walmart,1197831,04-09-2020 00:00,South,Texas,Houston,Women's Apparel,50,900,450000,225000,0.5,Outlet,NV
116,Walmart,1197831,05-09-2020 00:00,South,Texas,Houston,Men's Street Footwear,45,850,382500,133875,0.35,Outlet,NY
117,Walmart,1197831,06-09-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,45,850,382500,133875,0.35,Outlet,NV
118,Walmart,1197831,07-09-2020 00:00,South,Texas,Houston,Women's Street Footwear,50,900,450000,157500,0.35,Outlet,NY
119,Walmart,1197831,08-09-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,140625,0.45,Outlet,NV
120,Walmart,1197831,09-09-2020 00:00,South,Texas,Houston,Men's Apparel,45,625,281250,84375,0.3,Outlet,NY
121,Walmart,1197831,10-09-2020 00:00,South,Texas,Houston,Women's Apparel,55,850,467500,233750,0.5,Outlet,NV
122,Walmart,1197831,11-09-2020 00:00,South,Texas,Houston,Men's Street Footwear,45,800,360000,126000,0.35,Outlet,NY
123,Walmart,1197831,12-09-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,45,800,360000,126000,0.35,Outlet,NV
124,Walmart,1197831,13-09-2020 00:00,South,Texas,Houston,Women's Street Footwear,50,750,375000,131250,0.35,Outlet,NY
125,Walmart,1197831,14-09-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,50,600,300000,135000,0.45,Outlet,NV
126,Walmart,1197831,15-09-2020 00:00,South,Texas,Houston,Men's Apparel,45,575,258750,77625,0.3,Outlet,NY
127,Walmart,1197831,16-09-2020 00:00,South,Texas,Houston,Women's Apparel,55,750,412500,206250,0.5,Outlet,NV
128,Walmart,1197831,20-10-2020 00:00,South,Texas,Houston,Men's Street Footwear,45,900,405000,141750,0.35,Outlet,NY
129,Walmart,1197831,21-10-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,45,900,405000,141750,0.35,Outlet,NV
130,Walmart,1197831,22-10-2020 00:00,South,Texas,Houston,Women's Street Footwear,50,825,412500,144375,0.35,Outlet,NY
131,Walmart,1197831,23-10-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,50,675,337500,151875,0.45,Outlet,NV
132,Walmart,1197831,24-10-2020 00:00,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,NY
133,Walmart,1197831,25-10-2020 00:00,South,Texas,Houston,Women's Apparel,55,850,467500,233750,0.5,Outlet,NV
134,Walmart,1197831,26-10-2020 00:00,South,Texas,Houston,Men's Street Footwear,45,950,427500,149625,0.35,Outlet,NY
135,Walmart,1197831,27-10-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,45,950,427500,149625,0.35,Outlet,NV
136,Walmart,1197831,28-10-2020 00:00,South,Texas,Houston,Women's Street Footwear,50,850,425000,148750,0.35,Outlet,NY
137,Walmart,1197831,29-10-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,50,700,350000,157500,0.45,Outlet,NV
138,Walmart,1197831,30-10-2020 00:00,South,Texas,Houston,Men's Apparel,45,650,292500,87750,0.3,Outlet,NY
139,Walmart,1197831,31-10-2020 00:00,South,Texas,Houston,Women's Apparel,55,900,495000,247500,0.5,Outlet,NV
140,West Gear,1128299,01-11-2020 00:00,South,Texas,Houston,Men's Street Footwear,40,775,310000,108500,0.35,Outlet,NY
141,West Gear,1128299,02-11-2020 00:00,South,Texas,Houston,Men's Athletic Footwear,50,775,387500,77500,0.2,Outlet,NV
142,West Gear,1128299,03-11-2020 00:00,South,Texas,Houston,Women's Street Footwear,50,775,387500,135625,0.35,Outlet,NY
143,West Gear,1128299,04-11-2020 00:00,South,Texas,Houston,Women's Athletic Footwear,50,625,312500,93750,0.3,Outlet,NV
144,West Gear,1128299,05-11-2020 00:00,West,California,San Francisco,Men's Apparel,55,575,316250,158125,0.5,Outlet,NY
145,West Gear,1128299,06-11-2020 00:00,West,California,San Francisco,Women's Apparel,50,775,387500,58125,0.15,Outlet,NV
146,West Gear,1128299,07-11-2020 00:00,West,California,San Francisco,Men's Street Footwear,40,825,330000,115500,0.35,Outlet,NY
147,West Gear,1128299,08-11-2020 00:00,West,California,San Francisco,Men's Athletic Footwear,50,725,362500,72500,0.2,Outlet,NV
148,West Gear,1128299,09-11-2020 00:00,West,California,San Francisco,Women's Street Footwear,50,725,362500,126875,0.35,Outlet,NY
149,West Gear,1128299,10-11-2020 00:00,West,California,San Francisco,Women's Athletic Footwear,50,575,287500,86250,0.3,Outlet,NV
150,West Gear,1128299,11-11-2020 00:00,West,California,San Francisco,Men's Apparel,55,500,275000,137500,0.5,Outlet,NY
151,West Gear,1128299,12-11-2020 00:00,West,California,San Francisco,Women's Apparel,50,700,350000,52500,0.15,Outlet,NV
152,West Gear,1128299,13-11-2020 00:00,West,California,San Francisco,Men's Street Footwear,50,850,425000,148750,0.35,Outlet,NY
153,West Gear,1128299,14-11-2020 00:00,West,California,San Francisco,Men's Athletic Footwear,60,700,420000,84000,0.2,Outlet,NV
154,West Gear,1128299,15-11-2020 00:00,West,California,San Francisco,Women's Street Footwear,60,700,420000,147000,0.35,Outlet,NY
155,West Gear,1128299,22-12-2020 00:00,West,California,San Francisco,Women's Athletic Footwear,60,600,360000,108000,0.3,Outlet,NV
156,West Gear,1128299,23-12-2020 00:00,West,California,San Francisco,Men's Apparel,65,500,325000,162500,0.5,Outlet,NY
157,West Gear,1128299,24-12-2020 00:00,West,California,San Francisco,Women's Apparel,60,700,420000,63000,0.15,Outlet,NV
158,West Gear,1128299,25-12-2020 00:00,West,California,San Francisco,Men's Street Footwear,60,875,525000,183750,0.35,Outlet,NY
159,West Gear,1128299,26-12-2020 00:00,West,California,San Francisco,Men's Athletic Footwear,65,675,438750,87750,0.2,Outlet,NV
160,West Gear,1128299,27-12-2020 00:00,West,California,San Francisco,Women's Street Footwear,65,725,471250,164937.5,0.35,Outlet,NY
161,West Gear,1128299,28-12-2020 00:00,West,California,San Francisco,Women's Athletic Footwear,60,625,375000,112500,0.3,Outlet,NV
162,West Gear,1128299,29-12-2020 00:00,West,California,San Francisco,Men's Apparel,65,525,341250,170625,0.5,Outlet,NY
163,West Gear,1128299,30-12-2020 00:00,West,California,San Francisco,Women's Apparel,80,700,560000,84000,0.15,Outlet,NV
164,West Gear,1128299,31-12-2020 00:00,West,California,San Francisco,Men's Street Footwear,60,900,540000,216000,0.4,Outlet,NY
165,West Gear,1128299,01-01-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,65,750,487500,121875,0.25,Outlet,NY
166,West Gear,1128299,02-01-2021 00:00,West,California,San Francisco,Women's Street Footwear,65,750,487500,195000,0.4,Outlet,NY
167,West Gear,1128299,03-01-2021 00:00,West,California,San Francisco,Women's Athletic Footwear,60,650,390000,136500,0.35,Outlet,CO
168,West Gear,1128299,04-01-2021 00:00,West,California,San Francisco,Men's Apparel,65,550,357500,196625,0.55,Outlet,NY
169,West Gear,1128299,05-01-2021 00:00,West,California,San Francisco,Women's Apparel,80,725,580000,116000,0.2,Outlet,CO
170,West Gear,1128299,06-01-2021 00:00,West,California,San Francisco,Men's Street Footwear,60,975,585000,234000,0.4,Outlet,NY
171,West Gear,1128299,07-01-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,65,825,536250,134062.5,0.25,Outlet,NY
172,West Gear,1128299,08-01-2021 00:00,West,California,San Francisco,Women's Street Footwear,65,825,536250,214500,0.4,Outlet,CO
173,West Gear,1128299,09-01-2021 00:00,West,California,San Francisco,Women's Athletic Footwear,60,700,420000,147000,0.35,Outlet,NY
174,West Gear,1128299,10-01-2021 00:00,West,California,San Francisco,Men's Apparel,65,575,373750,205562.5,0.55,Outlet,CO
175,West Gear,1128299,11-01-2021 00:00,West,California,San Francisco,Women's Apparel,80,875,700000,140000,0.2,Outlet,NY
176,West Gear,1128299,12-01-2021 00:00,West,California,San Francisco,Men's Street Footwear,60,1025,615000,215250,0.35,Outlet,NY
177,West Gear,1128299,13-01-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,65,875,568750,113750,0.2,Outlet,CO
178,West Gear,1128299,14-01-2021 00:00,West,California,San Francisco,Women's Street Footwear,65,825,536250,187687.5,0.35,Outlet,NY
179,West Gear,1128299,15-01-2021 00:00,West,California,San Francisco,Women's Athletic Footwear,60,725,435000,130500,0.3,Outlet,CO
180,West Gear,1128299,16-01-2021 00:00,West,California,San Francisco,Men's Apparel,65,775,503750,251875,0.5,Outlet,NY
181,West Gear,1128299,17-01-2021 00:00,West,California,San Francisco,Women's Apparel,80,775,620000,93000,0.15,Outlet,NY
182,West Gear,1128299,18-01-2021 00:00,West,California,San Francisco,Men's Street Footwear,65,975,633750,221812.5,0.35,Outlet,CO
183,West Gear,1128299,19-01-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,70,925,647500,129500,0.2,Outlet,NY
184,West Gear,1128299,20-01-2021 00:00,West,California,San Francisco,Women's Street Footwear,65,800,520000,182000,0.35,Outlet,CO
185,West Gear,1128299,21-01-2021 00:00,West,California,San Francisco,Women's Athletic Footwear,65,750,487500,146250,0.3,Outlet,NY
186,West Gear,1128299,22-01-2021 00:00,West,California,San Francisco,Men's Apparel,75,750,562500,281250,0.5,Outlet,NY
187,West Gear,1128299,23-01-2021 00:00,West,California,San Francisco,Women's Apparel,80,725,580000,87000,0.15,Outlet,CO
188,West Gear,1128299,24-01-2021 00:00,West,California,San Francisco,Men's Street Footwear,55,925,508750,152625,0.3,Outlet,NY
189,West Gear,1128299,25-01-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,60,925,555000,83250,0.15,Outlet,CO
190,West Gear,1128299,26-01-2021 00:00,West,California,San Francisco,Women's Street Footwear,55,775,426250,127875,0.3,Outlet,NY
191,West Gear,1128299,27-01-2021 00:00,West,California,San Francisco,Women's Athletic Footwear,55,725,398750,99687.5,0.25,Outlet,NY
192,West Gear,1128299,28-01-2021 00:00,West,California,San Francisco,Men's Apparel,65,725,471250,212062.5,0.45,Outlet,CO
193,West Gear,1128299,29-01-2021 00:00,West,California,San Francisco,Women's Apparel,70,775,542500,54250,0.1,Outlet,NY
194,West Gear,1128299,30-01-2021 00:00,West,California,San Francisco,Men's Street Footwear,55,875,481250,144375,0.3,Outlet,CO
195,West Gear,1128299,31-01-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,60,875,525000,78750,0.15,Outlet,NY
196,West Gear,1128299,01-02-2021 00:00,West,California,San Francisco,Women's Street Footwear,55,700,385000,115500,0.3,Outlet,NY
197,West Gear,1128299,02-02-2021 00:00,West,California,San Francisco,Women's Athletic Footwear,55,675,371250,92812.5,0.25,Outlet,CO
198,West Gear,1128299,03-02-2021 00:00,West,California,San Francisco,Men's Apparel,65,650,422500,190125,0.45,Outlet,NY
199,West Gear,1128299,04-02-2021 00:00,West,California,San Francisco,Women's Apparel,70,700,490000,49000,0.1,Outlet,CO
200,West Gear,1128299,05-02-2021 00:00,West,California,San Francisco,Men's Street Footwear,55,875,481250,144375,0.3,Outlet,NY
201,West Gear,1128299,06-02-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,60,875,525000,78750,0.15,Outlet,NY
202,West Gear,1128299,07-02-2021 00:00,West,California,San Francisco,Women's Street Footwear,55,725,398750,119625,0.3,Outlet,CO
203,West Gear,1128299,08-02-2021 00:00,West,California,San Francisco,Women's Athletic Footwear,55,700,385000,96250,0.25,Outlet,NY
204,West Gear,1128299,09-02-2021 00:00,West,California,San Francisco,Men's Apparel,65,650,422500,190125,0.45,Outlet,CO
205,West Gear,1128299,10-02-2021 00:00,West,California,San Francisco,Women's Apparel,70,775,542500,54250,0.1,Outlet,NY
206,West Gear,1128299,11-02-2021 00:00,West,California,San Francisco,Men's Street Footwear,55,975,536250,160875,0.3,Outlet,NY
207,West Gear,1128299,12-02-2021 00:00,West,California,San Francisco,Men's Athletic Footwear,60,975,585000,87750,0.15,Outlet,CO
208,West Gear,1128299,13-02-2021 00:00,West,California,San Francisco,Women's Street Footwear,55,775,426250,127875,0.3,Outlet,NY
209,West Gear,1128299,14-02-2021 00:00,West,California,San Francisco,Women's Athletic Footwear,55,775,426250,106562.5,0.25,Outlet,CO
210,West Gear,1128299,15-02-2021 00:00,West,California,San Francisco,Men's Apparel,65,700,455000,204750,0.45,Outlet,NY
211,West Gear,1128299,16-02-2021 00:00,West,California,San Francisco,Women's Apparel,70,800,560000,56000,0.1,Outlet,NY
